Month,Year,PrecipitationJanuary,1993,21.72
February,1993,46.74
March,1993,40.37
April,1993,11.98
May,1993,0.45
June,1993,0
July,1993,0
August,1993,0.87
September,1993,3.05
October,1993,103
November,1993,96.12
December,1993,116.6
January,1994,133.72
February,1994,126.81
March,1994,36.23
April,1994,8.22
May,1994,0.02
June,1994,0
July,1994,0
August,1994,0
September,1994,0.13
October,1994,16.19
November,1994,25.41
December,1994,86.35
January,1995,80.82
February,1995,60.97
March,1995,200.47
April,1995,44.17
May,1995,27.74
June,1995,0
July,1995,0
August,1995,4.28
September,1995,13.7
October,1995,63.09
November,1995,151.26
December,1995,214.72
January,1996,155.47
February,1996,158.81
March,1996,34.65
April,1996,43.99
May,1996,27.8
June,1996,0.08
July,1996,0.12
August,1996,2.28
September,1996,3.41
October,1996,74.68
November,1996,131.03
December,1996,94.19
January,1997,123.61
February,1997,60.7
March,1997,296.09
April,1997,72.34
May,1997,90.83
June,1997,0.1
July,1997,5.16
August,1997,6.11
September,1997,47.46
October,1997,36.6
November,1997,70.56
December,1997,117.4
January,1998,136.51
February,1998,46.01
March,1998,64.37
April,1998,5.64
May,1998,0.01
June,1998,0.01
July,1998,1.77
August,1998,0.08
September,1998,15.9
October,1998,89.24
November,1998,190.91
December,1998,156.17
January,1999,48.45
February,1999,40.44
March,1999,27.72
April,1999,55.05
May,1999,33.88
June,1999,0.6
July,1999,1.15
August,1999,0.37
September,1999,6.36
October,1999,32.84
November,1999,77.23
December,1999,192.76
January,2000,128.03
February,2000,391.03
March,2000,121.25
April,2000,37.38
May,2000,32.7
June,2000,8.57
July,2000,1.04
August,2000,3.37
September,2000,19.44
October,2000,107.95
November,2000,79.93
December,2000,98.38
January,2001,34.87
February,2001,131.16
March,2001,65.47
April,2001,78.57
May,2001,49.31
June,2001,10.05
July,2001,1.36
August,2001,18.06
September,2001,44.79
October,2001,127.97
November,2001,129.39
December,2001,115.07
January,2002,59.05
February,2002,72.02
March,2002,33.54
April,2002,25.76
May,2002,37.47
June,2002,14.32
July,2002,0.62
August,2002,41.65
September,2002,7.52
October,2002,50.44
November,2002,30.29
December,2002,93.18
January,2003,82.33
February,2003,81.66
March,2003,32.2
April,2003,8.18
May,2003,0.49
June,2003,9.01
July,2003,0.14
August,2003,3.2
September,2003,4.75
October,2003,67.47
November,2003,149.71
December,2003,57.4
January,2004,82.8
February,2004,105.84
March,2004,132.64
April,2004,67.46
May,2004,6.09
June,2004,3.9
July,2004,3.61
August,2004,12.12
September,2004,0.53
October,2004,41.51
November,2004,51.85
December,2004,128.68
January,2005,124.25
February,2005,61.12
March,2005,55.47
April,2005,107.72
May,2005,3.02
June,2005,0.48
July,2005,0.11
August,2005,2.74
September,2005,2.24
October,2005,14.88
November,2005,80.97
December,2005,102.24
January,2006,147.86
February,2006,179.16
March,2006,98.57
April,2006,34.32
May,2006,13.24
June,2006,7.83
July,2006,1.85
August,2006,26.71
September,2006,4.29
October,2006,23.52
November,2006,74.37
December,2006,77.72
January,2007,42.87
February,2007,27.82
March,2007,28.91
April,2007,40.41
May,2007,0.12
June,2007,30.66
July,2007,3.15
August,2007,0.4
September,2007,68.11
October,2007,122.75
November,2007,90.67
December,2007,79.31
January,2008,143.74
February,2008,45.49
March,2008,138.92
April,2008,12.59
May,2008,47.56
June,2008,9.26
July,2008,2.52
August,2008,0.37
September,2008,0.16
October,2008,20.76
November,2008,84.07
December,2008,60.55
January,2009,206.75
February,2009,88.75
March,2009,77.92
April,2009,7.53
May,2009,37.11
June,2009,37.43
July,2009,8.62
August,2009,14.95
September,2009,16.58
October,2009,52.36
November,2009,85.89
December,2009,102.27
January,2010,143.57
February,2010,62.01
March,2010,63.42
April,2010,144.67
May,2010,39.43
June,2010,0.37
July,2010,0.82
August,2010,0
September,2010,1.37
October,2010,19.79
November,2010,74.48
December,2010,136.94
January,2011,154.12
February,2011,60.92
March,2011,84.4
April,2011,121.55
May,2011,8.5
June,2011,44.18
July,2011,1.11
August,2011,0.27
September,2011,1.05
October,2011,38.6
November,2011,45.92
December,2011,101.5
January,2012,81
February,2012,49.19
March,2012,87.3
April,2012,7.51
May,2012,0.17
June,2012,2.4
July,2012,1.02
August,2012,0.43
September,2012,23.74
October,2012,83.03
November,2012,58
December,2012,123.91
January,2013,65.86
February,2013,49.73
March,2013,47.4
April,2013,60.14
May,2013,1.64
June,2013,0.01
July,2013,4.57
August,2013,1.81
September,2013,3.6
October,2013,39.87
November,2013,49.19
December,2013,121.57
January,2014,82.47
February,2014,106.8
March,2014,112.95
April,2014,28.67
May,2014,2.94
June,2014,0.16
July,2014,0.12
August,2014,5.25
September,2014,2.29
October,2014,11.06
November,2014,101.95
December,2014,100.89
January,2015,54.96
February,2015,34.36
March,2015,60.46
April,2015,25.53
May,2015,0.25
June,2015,6.34
July,2015,3.89
August,2015,0.81
September,2015,45.06
October,2015,8.27
November,2015,69.96
December,2015,46.69
January,2016,75.97
February,2016,51.11
March,2016,72.07
April,2016,31.59
May,2016,40.4
June,2016,22.42
July,2016,14.91
August,2016,0.08
September,2016,1.69
October,2016,42.59
November,2016,71.96
December,2016,110.23
January,2017,180.42
February,2017,152.73
March,2017,14.89
